,0
1294,37
1295,4
1296,-35
1297,88
1298,68
1299,28
1300,23
1301,85
1302,28
1303,-55
1304,-54
1305,-10
1306,18
1307,-7
1308,40
1309,72
1310,-17
1311,37
1312,31
1313,43
1314,-37
1315,42
1316,22
1317,-19
1318,-32
1319,2
1320,-15
1321,-62
1322,3
1323,34
1324,-17
1325,73
1326,83
1327,54
1328,-20
1329,0
1330,-32
1331,-143
1332,-53
1333,-63
1334,-58
1335,65
1336,126
1337,30
1338,19
1339,55
1340,-9
1341,-7
1342,-41
1343,-38
1344,-71
1345,-18
1346,-22
1347,-55
1348,45
1349,69
1350,-27
1351,6
1352,3
1353,-65
1354,-47
1355,-41
1356,-40
1357,20
1358,71
1359,-16
1360,-30
1361,22
1362,26
1363,-36
1364,14
1365,17
1366,-66
1367,-14
1368,-17
1369,-77
1370,1
1371,-6
1372,-34
1373,-17
1374,30
1375,-42
1376,23
1377,-6
1378,16
1379,-34
1380,-76
1381,-83
1382,1
1383,1
1384,22
1385,52
1386,57
1387,13
1388,11
1389,9
1390,-13
1391,22
1392,-5
1393,-49
1394,-2
1395,0
1396,5
1397,-18
1398,-7
1399,12
1400,8
1401,-23
1402,-37
1403,-54
1404,-78
1405,-43
1406,-7
1407,69
1408,38
1409,-26
1410,14
1411,3
1412,23
1413,-21
1414,-1
1415,-14
1416,-33
1417,-24
1418,2
1419,-37
1420,-92
1421,-48
1422,11
1423,22
1424,13
1425,18
1426,1
1427,8
1428,-18
1429,-34
1430,-61
1431,-59
1432,-62
1433,-27
1434,17
1435,58
1436,33
1437,-12
1438,-9
1439,-3
1440,12
1441,4
1442,9
1443,-22
1444,-3
1445,-13
1446,-26
1447,-35
1448,-24
1449,-26
1450,-24
1451,-28
1452,-14
1453,-46
1454,-27
1455,30
1456,32
1457,75
1458,-4
1459,-15
1460,-4
1461,-10
1462,-36
1463,-55
1464,-79
1465,-50
1466,-18
1467,-8
1468,3
1469,-10
1470,10
1471,-7
1472,3
1473,18
1474,0
1475,18
1476,-15
1477,-28
1478,-47
1479,-49
1480,-113
1481,-81
1482,-16
1483,9
1484,30
1485,43
1486,10
1487,-16
1488,3
1489,0
1490,-4
1491,-4
1492,2
1493,-24
1494,-38
1495,-38
1496,-14
1497,-34
1498,-38
1499,-22
1500,-57
1501,-46
1502,-64
1503,-18
1504,29
1505,38
1506,51
1507,76
1508,-49
1509,-35
1510,-10
1511,30
1512,22
1513,-10
1514,-12
1515,-6
1516,-42
1517,-1
1518,-16
1519,-17
1520,-3
1521,1
1522,-17
1523,25
1524,6
1525,20
1526,-32
1527,-27
1528,3
1529,-31
1530,-26
1531,-19
1532,-41
1533,19
1534,18
1535,19
1536,3
1537,-28
1538,-36
1539,-32
1540,-39
1541,-1
1542,-30
1543,-35
1544,-32
1545,11
1546,-49
1547,-35
1548,-43
1549,-22
1550,-11
1551,-54
1552,-54
1553,-34
1554,17
1555,37
1556,102
1557,62
1558,-54
1559,3
1560,-11
1561,-50
1562,-46
1563,-11
1564,-40
1565,-65
1566,-27
1567,24
1568,-84
1569,-25
1570,13
1571,-71
1572,-53
1573,15
1574,-28
1575,-51
1576,25
1577,-68
1578,-125
1579,-53
1580,-28
1581,-116
1582,-60
1583,54
1584,-41
1585,25
1586,25
1587,-95
1588,-40
1589,2
1590,-75
1591,-67
1592,-4
1593,-57
1594,-74
1595,12
1596,2
1597,-79
1598,-43
1599,-5
1600,-77
1601,-58
1602,-5
1603,-72
1604,-34
1605,68
1606,45
1607,-28
1608,-1
1609,1
1610,-68
1611,-13
1612,62
1613,-54
1614,10
1615,-2
1616,-37
1617,-4
1618,17
1619,-11
1620,-93
1621,50
1622,47
1623,-30
1624,72
1625,15
1626,-96
1627,-56
1628,46
1629,-76
1630,-59
1631,-22
1632,1
1633,-21
1634,78
1635,8
1636,-63
1637,-12
1638,50
1639,-90
1640,-90
1641,43
1642,-114
1643,-41
1644,41
1645,30
1646,-51
1647,8
1648,10
1649,-89
1650,-69
1651,-28
1652,-77
1653,-55
1654,78
1655,18
1656,6
1657,77
1658,33
1659,-51
1660,28
1661,82
1662,-38
1663,8
1664,60
1665,-22
1666,-8
1667,71
1668,6
1669,-25
1670,61
1671,28
1672,-38
1673,-20
1674,36
1675,-55
1676,-47
1677,-8
1678,-88
1679,-122
1680,-16
1681,-19
1682,-23
1683,50
1684,-82
1685,-79
1686,-37
1687,51
1688,-15
1689,-14
1690,64
1691,34
1692,-45
1693,11
1694,63
1695,-51
1696,51
1697,45
1698,-11
1699,-44
1700,13
1701,-15
1702,-55
1703,47
1704,115
1705,52
1706,51
1707,87
1708,-18
1709,13
1710,88
1711,50
1712,-38
1713,25
1714,81
1715,-35
1716,5
1717,46
1718,5
1719,-84
1720,25
1721,43
1722,-73
1723,-17
1724,44
1725,-16
1726,-91
1727,-35
1728,-92
1729,-50
1730,-29
1731,117
1732,89
1733,18
1734,124
1735,132
1736,24
1737,57
1738,81
1739,-37
1740,-28
1741,46
1742,43
1743,-47
1744,13
1745,72
1746,0
1747,65
1748,65
1749,-7
1750,-11
1751,67
1752,84
1753,48
1754,98
1755,84
1756,-22
1757,-15
1758,25
1759,19
1760,8
1761,73
1762,83
1763,32
1764,99
1765,63
1766,-4
1767,26
1768,31
1769,-36
1770,-16
1771,74
1772,0
1773,53
1774,45
1775,121
1776,-33
1777,27
1778,31
1779,-20
1780,17
1781,65
1782,78
1783,69
1784,91
1785,39
1786,10
1787,101
1788,89
1789,6
1790,61
1791,74
1792,1
1793,55
1794,49
1795,2
1796,66
1797,61
1798,25
1799,28
1800,67
1801,60
1802,54
1803,84
1804,123
1805,59
1806,28
1807,69
1808,36
1809,40
1810,62
1811,47
1812,52
1813,57
1814,56
1815,15
1816,48
1817,-52
1818,-18
1819,39
1820,75
1821,62
1822,49
1823,75
1824,83
1825,47
1826,21
1827,35
1828,1
1829,-23
1830,23
1831,34
1832,97
1833,46
1834,56
1835,43
1836,27
1837,67
1838,63
1839,53
1840,33
1841,21
1842,49
1843,54
1844,50
1845,34
1846,6
1847,44
1848,15
1849,39
1850,37
1851,38
1852,83
1853,121
1854,131
1855,86
1856,35
1857,-32
1858,12
1859,64
1860,35
1861,-5
1862,-5
1863,85
1864,59
1865,65
1866,70
1867,23
1868,-7
1869,36
1870,25
1871,50
1872,51
1873,29
1874,5
1875,35
1876,25
1877,3
1878,31
1879,43
1880,87
1881,115
1882,72
1883,38
1884,-7
1885,-2
1886,25
1887,39
1888,29
1889,31
1890,42
1891,59
1892,34
1893,33
1894,75
1895,69
1896,59
1897,28
1898,13
1899,-12
1900,-17
1901,27
1902,71
1903,109
1904,24
1905,-28
1906,43
1907,67
1908,112
1909,80
1910,53
1911,78
1912,25
1913,58
1914,76
1915,57
1916,57
1917,49
1918,14
1919,14
1920,81
1921,74
1922,72
1923,54
1924,45
1925,40
1926,11
1927,40
1928,40
1929,41
1930,85
1931,103
1932,77
1933,40
1934,31
1935,23
1936,31
1937,54
1938,63
1939,19
1940,57
1941,74
1942,64
1943,57
1944,61
1945,56
1946,67
1947,0
1948,7
1949,-62
1950,28
1951,46
1952,80
1953,116
1954,72
1955,76
1956,54
1957,40
1958,55
1959,53
1960,55
1961,59
1962,50
1963,59
1964,53
1965,59
1966,51
1967,55
1968,37
1969,36
1970,54
1971,67
1972,70
1973,29
1974,44
1975,27
1976,-3
1977,-12
1978,2
1979,33
1980,66
1981,86
1982,82
1983,20
1984,49
1985,35
1986,27
1987,46
1988,66
1989,65
1990,20
1991,43
1992,75
1993,-15
1994,78
1995,70
1996,76
1997,37
1998,47
1999,49
2000,80
2001,99
2002,120
2003,189
2004,90
2005,43
2006,126
2007,123
2008,39
2009,122
2010,181
2011,58
2012,63
2013,168
2014,81
2015,10
2016,137
2017,130
2018,51
2019,107
2020,174
2021,92
2022,68
2023,151
2024,91
2025,-28
2026,80
2027,82
2028,8
2029,104
2030,194
2031,129
2032,54
2033,117
2034,108
2035,47
2036,36
2037,86
2038,24
2039,51
2040,141
2041,159
2042,42
2043,88
2044,150
2045,98
2046,-3
2047,114
2048,44
2049,-13
2050,74
2051,161
2052,101
2053,124
2054,147
2055,99
2056,16
2057,114
2058,118
2059,44
2060,81
2061,106
2062,23
2063,36
2064,109
2065,81
2066,9
2067,85
2068,107
2069,16
2070,94
2071,138
2072,12
2073,16
2074,110
2075,-19
2076,-38
2077,68
2078,52
2079,36
2080,147
2081,65
2082,-56
2083,15
2084,106
2085,12
2086,10
2087,144
2088,-1
2089,-40
2090,88
2091,2
2092,-36
2093,94
2094,40
2095,-59
2096,30
2097,44
2098,8
2099,-7
2100,131
2101,84
2102,59
2103,141
2104,42
2105,-21
2106,89
2107,121
2108,39
2109,22
2110,125
2111,38
2112,20
2113,91
2114,79
2115,-26
2116,66
2117,41
2118,-18
2119,33
2120,92
2121,9
2122,-64
2123,72
2124,-41
2125,-98
2126,-1
2127,-17
2128,4
2129,80
2130,121
2131,8
2132,-21
2133,105
2134,56
2135,-49
2136,42
2137,51
2138,-58
2139,36
2140,115
2141,40
2142,-20
2143,105
2144,30
2145,-48
2146,7
2147,40
2148,-30
2149,-31
2150,122
2151,71
2152,22
2153,74
2154,52
2155,-45
2156,-14
2157,79
2158,37
2159,-26
2160,22
2161,47
2162,16
2163,-73
2164,68
2165,60
2166,-50
2167,67
2168,40
2169,-13
2170,-47
2171,91
2172,45
2173,15
2174,61
2175,1
2176,-25
2177,54
2178,73
2179,9
2180,0
2181,53
2182,-37
2183,-60
2184,3
2185,54
2186,-5
2187,-1
2188,18
2189,-10
2190,-31
2191,32
2192,46
2193,-55
2194,43
2195,-35
2196,-25
2197,-60
2198,-19
2199,-14
2200,20
2201,109
2202,88
2203,-32
2204,22
2205,32
2206,-42
2207,-1
2208,9
2209,-40
2210,-25
2211,3
2212,36
2213,-75
2214,-20
2215,76
2216,6
2217,29
2218,10
2219,6
2220,-61
2221,-3
2222,-8
2223,-76
